Gun,Skin,Image,Price Link,Min_Price,Max_Price
Huntsman Knife,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9nc19odW50c21hbl9hdXRvdHJvbmljX2xpZ2h0LjdmMWRlODFjMDcwMDMwMWJhZjNiMWMxNzQ4YjY2ZWRjZTU0OWJhNWMucG5n/auto/auto/85/notrim/5a9f59e154dc28ced4b8651dba8fba1a.webp,https://csgoskins.gg/items/huntsman-knife-autotronic,$97.70,$179.73
Falchion Knife,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mYWxjaGlvbl9nc19mYWxjaGlvbl9hdXRvdHJvbmljX2xpZ2h0LjJmODEwNmUzNmQ2ZTZhNTc2YjgyYmE2ZjI3Yjg0NjUyZDAwOWE5M2YucG5n/auto/auto/85/notrim/3fd8149b14044421be1c800116596ba0.webp,https://csgoskins.gg/items/falchion-knife-autotronic,$99.96,$170.80
Bowie Knife,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9zdXJ2aXZhbF9ib3dpZV9nc19ib3dpZV9hdXRvdHJvbmljX2xpZ2h0LmE5MDViYTBiYzE4ZmZjYTJlNTA0ZTYxNjlmZmZlNWY2YzQxNGU2MTYucG5n/auto/auto/85/notrim/114597522f328f262e77c8003aff0a73.webp,https://csgoskins.gg/items/bowie-knife-autotronic,$87.56,$160.97
Shadow Daggers,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9wdXNoX2dzX3B1c2hfYXV0b3Ryb25pY19saWdodC40NGE2NmYzMTAxNGY5NGZmMDI2YjRkMTI5ZjUxZmZmODYzOTIxZjc0LnBuZw--/auto/auto/85/notrim/ee2e7823df8bfd99a83b8e0cb7a17ddd.webp,https://csgoskins.gg/items/shadow-daggers-autotronic,$55.22,$91.81
Butterfly Knife,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfZ3NfYnV0dGVyZmx5X2F1dG90cm9uaWNfbGlnaHQuNzY3NmY2YWU0ZDZjODZkMWE2M2M1MjVjOTc2MjEwYmQwNTNmNGQ3Ny5wbmc-/auto/auto/85/notrim/5b237ec6bf3c4ebe8636e2b9892b575e.webp,https://csgoskins.gg/items/butterfly-knife-autotronic,$759.55,"$1,680.00"
Karambit,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9nc19rYXJhbV9hdXRvdHJvbmljX2xpZ2h0LjJiYzgxMTBmOTZjZjJmODc0YWZjYThjYWUyODFhOGNkM2NkMWVjOTUucG5n/auto/auto/85/notrim/96466ee4f9625d5f2a5406582101bd36.webp,https://csgoskins.gg/items/karambit-autotronic,$735.84,"$1,950.00"
Bayonet,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9iYXlvbmV0X2dzX2JheW9uZXRfYXV0b3Ryb25pY19saWdodC4zN2YzY2M4ZWFiNzNiZGU1MWUyNGEwYjM1ZDRlMzA2YzNhMTA4YWExLnBuZw--/auto/auto/85/notrim/ebd24ac2b642b7facb6a653a7c138258.webp,https://csgoskins.gg/items/bayonet-autotronic,$254.21,$560.00
Gut Knife,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9ndXRfZ3NfZ3V0X2F1dG90cm9uaWNfbGlnaHQuMTZkZTExODI3NTY5M2I3ZTM5ZjhjY2Q5Y2E4NjIzOGE4ZjlhZmYyZi5wbmc-/auto/auto/85/notrim/eb1dde42435122e985d5df88de18975e.webp,https://csgoskins.gg/items/gut-knife-autotronic,$94.18,$183.58
Flip Knife,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2dzX2ZsaXBfYXV0b3Ryb25pY19saWdodC45MjI0ZWE3ODBmNjJkNTZkN2IzNzM2MjFlMjg1N2U1NjkxOTJkN2VmLnBuZw--/auto/auto/85/notrim/74149562ca2d917b85f8ba5569d80fa3.webp,https://csgoskins.gg/items/flip-knife-autotronic,$158.66,$286.93
M9 Bayonet,Autotronic,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2dzX205X2JheV9hdXRvdHJvbmljX2xpZ2h0LjdhYzI0OWJlYmJiNDIyZWI1MTE0YzhiZDkxYWU5YzE3MWE0NDZkYzYucG5n/auto/auto/85/notrim/e2091e66edff1bb44e6b6f9ace6937ef.webp,https://csgoskins.gg/items/m9-bayonet-autotronic,$617.20,"$1,292.99"
