Gun,Skin,Image,Price Link,Min_Price,Max_Price,Stat_Min_Price,Stat_Max_Price
Negev,AnodizedNavY,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbl9uYXZ5X2xpZ2h0LjJkZWE2YTM4YmM3OWYyOTZmM2VmOTJmY2JmNzg4MDgzN2RkY2U1MmIucG5n/auto/auto/85/notrim/fab65c958cf34f1ada68a49bc2bf7670.png,https://csgoskins.gg/items/negev-anodized-navy,$411.48,"$1,081.03",,
Negev,ArmySheeN,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbV9hcm15X3NoaW5lX2xpZ2h0LjQ5NzhmYmNmOGU5MDkzZjNhYjQ3MTVmZDA3YmFmMmQ5NDg4NDk4YWIucG5n/auto/auto/85/notrim/6e94d1ffcac7e4a24682e966367b1787.png,https://csgoskins.gg/items/negev-army-sheen,$0.01,$0.03,,
M249,Aztec1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2FxX20yNDlfYXp0ZWNfbGlnaHQuY2M5OTYzYTVlNjIxZDRkNGY4ODFhNmZlNTJhYmFkZjRkYzU2MGE2My5wbmc-/auto/auto/85/notrim/6aa0528c97e9e6eb947fe61688adf3d1.png,https://csgoskins.gg/items/m249-aztec,$0.44,$2.30,,
M249,Blizzard Marbleized1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2h5X2JsaXp6YXJkX2xpZ2h0LjY1YTA1NzcwZGRhMGI3Y2IyMDJmNWI2ODE0NjczZGNkZTFlNGM5YzcucG5n/auto/auto/85/notrim/31300bf8615bd6fd65beeea6154700a7.png,https://csgoskins.gg/items/m249-blizzard-marbleized,$6.68,$134.55,,
Negev,Boroque Sand1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV92ZW5ldG9fdGFuX2xpZ2h0LjMzZjZlNWY5MjAyNjBjNmI2YjhmYTMyOTA1ZjAxZWJkMDMzOTM4NTgucG5n/auto/auto/85/notrim/fbac1a18419588c3030282e81f2c8ed4.png,https://csgoskins.gg/items/negev-boroque-sand,$1.39,$6.64,,
Negev,Bratatat1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9icmF0YXRhdF9uZWdldl9saWdodC40NjI2MGU5ZWMyYjljZWFlNjNmYjEyNzM1NTA5NzM0OTE1Mjc5MTgxLnBuZw--/auto/auto/85/notrim/0a670b064b6467594d96d7c3a702ad63.png,https://csgoskins.gg/items/negev-bratatat,$1.17,$6.53,,
Negev,Bulkhead1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV9kdWN0c195ZWxsb3dfbGlnaHQuMWRhZGQ2ODE2OWIwN2MyNmQ3NDU3NWI2YmU3MWE4YjBlY2JhOTczYS5wbmc-/auto/auto/85/notrim/901234f05172916647943eaca2dc6e19.png,https://csgoskins.gg/items/negev-bulkhead,$0.01,$0.09,,
Negev,CaliCamO,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV92YXJpY2Ftb19kZXNlcnRfbGlnaHQuYzI5ZjNhM2FlNTE4MTk5NGVkOWFmYmVmMTUxMGZiNjBjMjM3MGM5Yi5wbmc-/auto/auto/85/notrim/1843220a015d77b00f8da4e383cba521.png,https://csgoskins.gg/items/negev-calicamo,$19.02,$383.37,,
M249,Contrast Spray1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NwX3NwcmF5X2xpZ2h0LmNmNWM0Y2JmM2QwMmE0YTI3NDliMjIxMThhM2U0NmJlOWJhMjEyMWEucG5n/auto/auto/85/notrim/222616af5cd12b69a0b5b158303ee9cb.png,https://csgoskins.gg/items/m249-contrast-spray,$0.30,$8.22,,
Negev,Dazzle1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV9uZWdldl9kYXp6bGVfbGlnaHQuNGVjYjFjYTlmYzBkMmViM2ZmZTAwZWIyMzlmMDZhNWM2NzFlZTYxOC5wbmc-/auto/auto/85/notrim/62d08480bfaecea6299b530d8a71b017.png,https://csgoskins.gg/items/negev-dazzle,$0.15,$0.73,,
