Gun,Skin,Image,Price Link,Min_Price,Max_Price
USP-S,27,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl91c3Bfc2lsZW5jZXJfdXNwX2ZpZWxkX3NuYWtlX2xpZ2h0LjUwNzlkNjY4MTA4MTcxZjYzNjE4YmVjNzM5MGY0MWM4ZjFjNDMyODEucG5n/auto/auto/85/notrim/7dbf3aab1e0091f47dc8d3cf4c89f6e2.webp,https://csgoskins.gg/items/usp-s-27,$0.16,$4.03
P2000,Acid Etched,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9oa3AyMDAwX2FxX3AyMDAwX2FjaWRfY2xvdmVyX2xpZ2h0LjA3MzhlMTViOTFkYTMwMDg5NTU2ZDEwNzVhZjMyN2NhYjE4ZmVjY2EucG5n/auto/auto/85/notrim/c792f828abda8b22bed4096b4d068926.webp,https://csgoskins.gg/items/p2000-acid-etched,$0.56,$9.73
USP-S,Alpine Camo,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl91c3Bfc2lsZW5jZXJfZ3NjaF9icmlnaHRfY2Ftb191c3BfbGlnaHQuNTkyNzJmODRiMjkwNzY5YTY0MWU4OTA2YzJmNzAzMmQwZmVjYTI5MS5wbmc-/auto/auto/85/notrim/bef84d523e80115501d661ba409ec78e.webp,https://csgoskins.gg/items/usp-s-alpine-camo,$0.47,$3.76
R8 Revolver,Amber Fade,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9yZXZvbHZlcl9hYV9mYWRlX21ldGFsbGljX3Jldm9sdmVyX2xpZ2h0LmZmZDc2Y2I3YTBhMWY1NjViMGM2NTkwYTA2MWU2ZjJjZWFkNGE4NTcucG5n/auto/auto/85/notrim/e6c7d9e287377913761f8f20c2451638.webp,https://csgoskins.gg/items/r8-revolver-amber-fade,$1.14,$1.62
P2000,Amber Fade,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9oa3AyMDAwX2FhX2ZhZGVfbWV0YWxsaWNfbGlnaHQuNjQyYmVkNzhhOWViNTIyYTg1ZDVhMGE1MzI1MWQ0MmI3MTY2MGUyMy5wbmc-/auto/auto/85/notrim/50cb377301220a881146d045ce5de3cc.webp,https://csgoskins.gg/items/p2000-amber-fade,$0.49,$3.01
USP-S,Ancient Visions,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl91c3Bfc2lsZW5jZXJfc3BfYW5jaWVudF9icmlnaHRfbGlnaHQuMmNlMDgyNjgxZGE1ZTg3MmFhZDhkNjUzNzRlZDU5NDIwZDNlNWRjNy5wbmc-/auto/auto/85/notrim/7b27d7cbf745a29e2b9319b5b7e9fb33.webp,https://csgoskins.gg/items/usp-s-ancient-visions,$49.60,$131.78
Dual Berettas,Angel Eyes,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9lbGl0ZV9kdWFsX2VsaXRlX2JpYmxpY2FsX2FuZ2VsX2xpZ2h0LmEwOTIwZWYxMjI3Y2FhYTEyNzgzMzNmMmI1YjMzMzRiZGM4YTk3NjIucG5n/auto/auto/85/notrim/2757513c4185d957e5f02cdda6793cc2.webp,https://csgoskins.gg/items/dual-berettas-angel-eyes,$0.55,$5.82
Five-SeveN,Angry Mob,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZV9zZXZlbl9hbmdyeV9saWdodC41OWU3YTM2NzUxNjM2N2I4ZGYyOTgyNWI1NzE2OWZkZjU0OTA5ODBiLnBuZw--/auto/auto/85/notrim/56c95654ed5d4c11757dff0cfdc879d0.webp,https://csgoskins.gg/items/five-seven-angry-mob,$53.39,$91.68
Five-SeveN,Anodized Gunmetal,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYW5fZ3VubWV0YWxfYnJhdm9fbGlnaHQuYWFjN2NkZDNlYThiZWYwYTU3ODA2YWI4NDMwMzFlNWZiM2UyYWI3Ny5wbmc-/auto/auto/85/notrim/ebf4faa06795ca2c97a6cbfd4973ea84.webp,https://csgoskins.gg/items/five-seven-anodized-gunmetal,$14.02,$15.52
Dual Berettas,Anodized Navy,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9lbGl0ZV9hbl9uYXZ5X2xpZ2h0LmEyYmU0ZDZmODBjZDE1MzE3YzMwYWM2YzA5YTkyNjQyNDMzZWI4MzgucG5n/auto/auto/85/notrim/d303fc9065bb112904cc80fe00806c94.webp,https://csgoskins.gg/items/dual-berettas-anodized-navy,$7.72,$8.61
