Gun,Skin,Image,Price Link,Min_Price,Max_Price
FAMAS,2A2F,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19nc190cmFpbl9jYXJfZmFtYXNfbGlnaHQuNmZiMWI1MjYwNTY5NzM3Nzg1MDVhNTdjMTVmZjYwMWUyMDBjNDEyOC5wbmc-/auto/auto/85/notrim/aa5954f6091d82ae196d1e4df9eb7d33.webp,https://csgoskins.gg/items/famas-2a2f,$0.31,$5.66
Galil AR,Acid Dart,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nYWxpbGFyX2h5ZV95ZWxsb3dfdXNhZl9saWdodC41NTZiMTY5OTY5ODc2Mjg4NzEwMmQzMmZmMDE4NzhmZjlmOTkxYzI5LnBuZw--/auto/auto/85/notrim/14556b4784315c469f514a2f8f3bfff9.webp,https://csgoskins.gg/items/galil-ar-acid-dart,$0.03,$0.31
M4A4,Aeolian Dark,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX2h5ZV9hYnN0cmFjdF9rbm90X200X2xpZ2h0LjM2YzYzYjAxZmJkMWExZWVmZmY0NGNiMTMzNDVhYThiYWU4ODkxY2EucG5n/auto/auto/85/notrim/d31ce877b4cfa1dd48b904d57e59cb68.webp,https://csgoskins.gg/items/m4a4-aeolian-dark,$0.11,$3.64
SG 553,Aerial,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19hZXJpYWxfbGlnaHQuYjE4MmVhMzJjMzk5MTQ1YmIzMjNlNjUzNzg2YjlhZmExMDcwMWQyNS5wbmc-/auto/auto/85/notrim/b0c9ed160b51ee93152af67f66e00e8a.webp,https://csgoskins.gg/items/sg-553-aerial,$0.30,$0.58
FAMAS,Afterimage,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19jdV9icm9rZW5fcGF0aF9mYW1hc19saWdodC4xYWYwNjI3OTkyOGEyMTM4ZjhkNjZjMDdmMTNkYzRjMjVjZGRiNmU0LnBuZw--/auto/auto/85/notrim/e6caf557be1b890a59cdae5c3b419f96.webp,https://csgoskins.gg/items/famas-afterimage,$22.85,$53.12
AUG,Akihabara Accept,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfY3VfYW5pbWVfYXVnX2xpZ2h0LmM4M2Q4NTUwNjVkZjFhM2E2ODA4YTdhZjJjNjRjYjUxODliNmRhMTcucG5n/auto/auto/85/notrim/01c1090dbdd860f324155b6dc84cfa22.webp,https://csgoskins.gg/items/aug-akihabara-accept,$279.54,"$3,478.28"
Galil AR,Akoben,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nYWxpbGFyX3NwX2dhbGlsX2Frb2Jlbl9saWdodC5jOGI2MzNkZGQ2MDlkNDUzODk4N2JhZDczY2U5MGE5ODQ4MDFmNWJlLnBuZw--/auto/auto/85/notrim/a18749df7de227a71a7f5cfb697b347e.webp,https://csgoskins.gg/items/galil-ar-akoben,$0.22,$1.15
SG 553,Aloha,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9zcF9zZzUzM19hbG9oYV9saWdodC4wNTA5MmY5Y2RhY2MzZjc5MjBiMzA5NGFjYTEzOWE3YzhiODI1NTBhLnBuZw--/auto/auto/85/notrim/9bb516e5353e2f8f59411ff13f92722e.webp,https://csgoskins.gg/items/sg-553-aloha,$0.09,$0.44
Galil AR,Amber Fade,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nYWxpbGFyX2FhX2ZhZGVfbWV0YWxsaWNfbGlnaHQuYWVlMTFjMTE1ZjJmNjIxZTcwOWU5N2Q4MTkwOTI1NmU1NTNhMzg2Mi5wbmc-/auto/auto/85/notrim/a7dbc2dbb8452f0e3a10f2a4c1d1beb7.webp,https://csgoskins.gg/items/galil-ar-amber-fade,$19.04,$31.72
AUG,Amber Fade,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfYWFfZmFkZV9tZXRhbGxpY19saWdodC5iOWMwNjJhNDgyODNiYjU2NzlmZWEwYjI3NDA5OTVlMWY3YzM3MDVlLnBuZw--/auto/auto/85/notrim/85af5924eb41f819c3f9f6fdf436071b.webp,https://csgoskins.gg/items/aug-amber-fade,$1.74,$3.65
AUG,Amber Slipstream,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfaHlfYXVnX3Rvcm5fb3JhbmdlX2xpZ2h0LjgwYWYwOGRlYzc3NzhlZTk4MDZlNjkwY2ZiODQ0ZjMyMDdlZDg3YmQucG5n/auto/auto/85/notrim/c1e0e1303a24a8c875a4e520a41e73ae.webp,https://csgoskins.gg/items/aug-amber-slipstream,$0.23,$0.75
