Gun,Skin,Image,Price Link,Min_Price,Max_Price
MP7,Abyssal Apparition,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDdfY3VfbXA3X2ZlYXJfbGlnaHQuZmRlYWQwZDIwN2ZjNGE1NWViY2ZmM2ZmOGEyMzg3MDZjNzM2NTU5My5wbmc-/auto/auto/85/notrim/5da0cf2c3e29e9083fb7c74d763a9795.webp,https://csgoskins.gg/items/mp7-abyssal-apparition,$6.58,$22.79
MAC-10,Acid Hex,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9oeWVfZ3JlZW5fY2Ftb19saWdodC5mM2Q1ZmNmMTQyMTBkYmIxZmIzNzFhNmM4NzI1NmNiOTRiOGNmNzFkLnBuZw--/auto/auto/85/notrim/9a7fb30bbad8b2c07f9efa0940b2a144.webp,https://csgoskins.gg/items/mac-10-acid-hex,$0.03,$0.30
MP5-SD,Acid Wash,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDVzZF9nc19tcDVfZXRjaF9saWdodC5hZWNjM2MyOGMzMWU5ODY1OTg0Zjc0ZDI0YjZkYmRmMTU4M2E2OTYwLnBuZw--/auto/auto/85/notrim/83b1b7468ad94cf00f4c3783737ad0ee.webp,https://csgoskins.gg/items/mp5-sd-acid-wash,$0.62,$3.16
P90,Aeolian Light,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wOTBfaHllX2Fic3RyYWN0X2tub3RfbGlnaHQuYTRmYmRlOTc4YmZjMTVkYjAxZTRkYTY4MTlhNjE4Yjk1MGE0ZTQxYy5wbmc-/auto/auto/85/notrim/7296f0a9b0a9f51e434e6e1a6a0f4b37.webp,https://csgoskins.gg/items/p90-aeolian-light,$1.04,$4.99
MP5-SD,Agent,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDVzZF9nc19tcDVfZmJpX2xpZ2h0LjU5MDQ5ZGU3YTYzYTdjNmFjOGJkNTEzZDcyYjUwMzY0MGJiZGE4NTkucG5n/auto/auto/85/notrim/2951b0a821e75fd79defabc81f9fbbe3.webp,https://csgoskins.gg/items/mp5-sd-agent,$0.77,$16.78
MP9,Airlock,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfY3VfbXA5X25hcmNpc19saWdodC43OTUyYWI4MGZjOTk3MjJhOWNkMTNmY2NkNjM4YzVmYzhlZTI5OWNjLnBuZw--/auto/auto/85/notrim/a5b53b126c455004966fd2f6f96dc0af.webp,https://csgoskins.gg/items/mp9-airlock,$10.38,$48.67
MP7,Akoben,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDdfc3BfbXA3X3RyaWJhbF95ZWxsb3dfbGlnaHQuMGVjZTRlN2FjMjVmNDUxMjk3Nzc1MDMzMjVmZjM0OGEzYmVjODNhZi5wbmc-/auto/auto/85/notrim/76bc7511e9cc01764ae26d6003b32510.webp,https://csgoskins.gg/items/mp7-akoben,$0.26,$0.79
MAC-10,Allure,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9jdV9tYWMxMF9pc29vbm5hX2xpZ2h0LjUwOWFjNDg3MzQ5MDM1YmE2ODBiYjI3NjEyNjYyNDVmMjkzYmY3NWEucG5n/auto/auto/85/notrim/79917f996f76d810ffdc42d12a4038e3.webp,https://csgoskins.gg/items/mac-10-allure,$0.41,$5.44
MAC-10,Aloha,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9hbV9tYWMxMF9hbG9oYV9saWdodC5lN2RmYTg5NDk3OGIzYWYzZTRjOGVhYmNjOWNkNjgzNDBiMzMwZDBmLnBuZw--/auto/auto/85/notrim/41380f04d9defb79fcd94543dfa681a5.webp,https://csgoskins.gg/items/mac-10-aloha,$3.64,$12.07
MAC-10,Amber Fade,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9hYV9mYWRlX21ldGFsbGljX2xpZ2h0LmVmNGJjZGU0ZTM3MzY2MDhkZmFiY2YyMGEwOTFjODM3NDdlNGVlM2IucG5n/auto/auto/85/notrim/b8fd2e13cea197621ddcacac3dcea440.webp,https://csgoskins.gg/items/mac-10-amber-fade,$16.96,$48.42
