Gun,Skin,Image,Price Link,Min_Price,Max_Price
SSG 08,Abyss,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9hcV9sZXZpYXRoYW5fbGlnaHQuMmY0MjNmODFkMTY5Y2JmMDMyMzBmMjFhMjlmOTA4Yzg0ZGFjNTA3My5wbmc-/auto/auto/85/notrim/6ae104b05be64ad6c121be1aa9ba525d.webp,https://csgoskins.gg/items/ssg-08-abyss,$0.28,$4.25
AWP,Acheron,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hd3BfaHlfbnVjbGVhcl9za3VsbHNfcmVkYmx1ZV9saWdodC5hZjFiNGYxN2JmOTE1M2EwZmIyZjFiYzRhYTBiOTY4YjMzY2EzZDQ2LnBuZw--/auto/auto/85/notrim/a44762fb905b44a11f0a9775440e002e.webp,https://csgoskins.gg/items/awp-acheron,$0.48,$3.34
SSG 08,Acid Fade,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9hYV9mYWRlX2dyYXNzbGFuZF9saWdodC40MDRiOWMzNTE0ODAzMDk0OWVlMTk4Yzk2NGE1NzA5NDE5YjQ4OGFhLnBuZw--/auto/auto/85/notrim/cc5b8ff05c172665938561316579a930.webp,https://csgoskins.gg/items/ssg-08-acid-fade,$3.11,$4.83
G3SG1,Ancient Ritual,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nM3NnMV9hbV9hbmNpZW50X3dpbmVfbGlnaHQuNDczMWI5M2YxOWI1NjdhMDRlMWY4ZjFjNjQyMGRjMmUwMDM4ZjkwOC5wbmc-/auto/auto/85/notrim/7bc438d2bc43767a1ca396c515380b0b.webp,https://csgoskins.gg/items/g3sg1-ancient-ritual,$8.52,$213.95
G3SG1,Arctic Camo,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nM3NnMV9oeV9hcmN0aWNfbGlnaHQuMzI0ZjVlM2EwMjJhOTI1YTMzOWZhOTBmYzE0MTlmOTM3YWY1ZTk4NS5wbmc-/auto/auto/85/notrim/594aa45ec9790e6c3bfc0694b71f73a6.webp,https://csgoskins.gg/items/g3sg1-arctic-camo,$2.22,$3.63
SCAR-20,Army Sheen,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zY2FyMjBfYW1fYXJteV9zaGluZV9saWdodC43ZDkwNTkzOTU0ZWYxN2RmYTA3MzFmYTBiMWVjMzdiOTFmODQ4MmYyLnBuZw--/auto/auto/85/notrim/36ca6cbf9027302c9b24b0074e76f5f7.webp,https://csgoskins.gg/items/scar-20-army-sheen,$0.53,$2.28
AWP,Arsenic Spill,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hd3BfaHlfdmFyaWNhbW9fc2ltcGxlX3llbGxvd19saWdodC4xMWVkNDkzMzY1NGFlMGExY2M5YTM4ZTk1ZDM1ZDBjMWM4NjdmZmY5LnBuZw--/auto/auto/85/notrim/2440ed238bbe9720ce1b800696432aec.webp,https://csgoskins.gg/items/awp-arsenic-spill,$75.58,$117.98
AWP,Asiimov,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hd3BfY3VfYXdwX2FzaW1vdl9saWdodC5mM2FjOTA3MzdlZTI5NjdhMjEwMjQzMDNkNGYzYTU3ZjExNGE1OWMxLnBuZw--/auto/auto/85/notrim/ce0433093ead722232f6285355b124d7.webp,https://csgoskins.gg/items/awp-asiimov,$0.23,$0.81
SCAR-20,Assault,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zY2FyMjBfY3Vfc2Nhcl9hc3NhdWx0X2xpZ2h0LmI3MmFjNWI4ZDE2MTkxNzNhNzdkOGE5MWNlMmJiMjAxNTdkYmE1ZWQucG5n/auto/auto/85/notrim/887f7845ede7f6915c9a2b186e4d4342.webp,https://csgoskins.gg/items/scar-20-assault,$3.69,$19.19
AWP,Atheris,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hd3BfY3VfYXdwX3ZpcGVyX2xpZ2h0LjEyZTJlOTA3Zjg4ZjU2MzNhMzEzMGVlMDY5ZDQxMDg3OWNmNWE2NmUucG5n/auto/auto/85/notrim/4dce1a042bb0f10ba8b305ed7037de2e.webp,https://csgoskins.gg/items/awp-atheris,$0.19,$2.02
